bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	spikes_num	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_task-LISTEN01_bold	0.004145189189189189	0.0383597972972973	0	48.04400502048912	0.918675301304348	0.9003195719021734	0.43976553361691584	3449786.25	0.1643646182292032	34	18.37837837837838	2.8430833249862197	2.664345158807347	2.9831246443838304	2.8817801717674834	0.00355948	0.007101038936525583	0.030069243162870407	185	104	104	72	2.4146584542585736	3.069999933242798	1.9999998807907104	2.000000238418579	1.9999998807907104	1	50.272402936257954	3.6129993498844013	99.90869903564453	2.5102250576019287	520065.0	0.024506651237607004	607.2137207031249	370.014892578125	2.063166098350977	1760.503625215094	5259.349609375	4873.08251953125	156704.0	2807.663671875	9145.785644531252	2018.1185302734375	14.91425895690918
sub-01_task-LISTEN02_bold	0.0046527868852459025	0.022454515300546447	2	53.65322372956045	1.0393625864285718	1.0009255382967026	0.43929948573170924	4984442.5	0.20491541546820294	62	33.87978142076503	2.7948433235795505	2.6745601594162083	2.9584846473211472	2.751485164001296	0.0120216	0.0032403625082224607	0.029314128682017326	183	104	104	72	2.366405434106983	3.069999933242798	1.9999998807907104	2.000000238418579	1.9999998807907104	3	56.39313848899053	2.954598921149395	87.24529266357422	2.0319039821624756	517166.0	0.0	546.0793304443359	344.44012451171875	2.0258484405373895	1730.9713907410576	5113.58056640625	4710.8408203125	158961.0	2703.03662109375	8948.896484375	1990.7095947265625	18.832008361816406
sub-01_task-REPEAT01_bold	0.008058756756756756	0.0374359508108108	0	56.1873318630978	0.9946992908695655	0.9782748073913043	0.4390882835656319	1594881.375	0.27832156552388687	73	39.45945945945946	2.862244990040979	2.702320161070833	3.029329638875766	2.8550851701763373	0.0152792	0.004709730856120586	0.029867207631468773	185	104	104	72	2.3992843895502807	3.069999933242798	1.9999998807907104	2.000000238418579	1.9999998807907104	2	52.17602008098398	5.213314953001268	94.70652770996094	3.6544013023376465	520867.0	0.038413970917463305	575.3495910644508	346.0537414550781	1.9809020674585334	1739.569832074212	5179.1240234375	4779.9453125	157106.0	2762.50390625	9020.8740234375	1992.2315673828125	14.23501205444336
sub-01_task-REPEAT02_bold	0.004074309392265193	0.03212123425414365	4	60.8850034931667	0.9703271328333333	1.080026439833334	0.4579969885417561	1283841.625	0.3275206085087553	103	56.9060773480663	2.862931656628769	2.735820163067589	3.0313396386361555	2.821635168182562	0.027228	-0.0018698490457609296	0.050624750554561615	181	104	96	72	2.34115388062108	3.069999933242798	1.9999998807907104	2.000000238418579	1.9999998807907104	0	52.58052203954489	5.59574169097287	98.52777099609375	3.8730831146240234	463204.0	0.0	608.217706298828	348.2660827636719	1.9524215791578445	1773.1817563931645	5100.58447265625	4699.17236328125	156833.0	2653.6341796875	8948.816406249998	2007.1971435546875	14.970041275024414
sub-02_task-LISTEN01_bold	0.001325414364640884	0.011679574309392263	1	49.993672603777746	1.0016717243888893	6760.459079633114	0.429056466195529	2720395.25	0.331019585968253	127	70.1657458563536	2.408388287613043	2.30153472563568	2.4298304344875397	2.493799702715909	0.00202199	0.011427412740886211	0.015340509824454784	181	104	104	72	2.1097211119331742	3.069999933242798	2.000000238418579	1.9999996423721313	2.000000238418579	1	59.44281722866862	4.046191260396943	97.92256164550781	2.729114532470703	521769.0	0.0	558.8716308593748	371.68414306640625	2.4482033907635463	1772.2578447323406	5320.236328125	4746.28125	153116.0	2770.7857666015625	9863.998779296875	2249.71240234375	23.527616500854492
sub-02_task-LISTEN02_bold	0.0009958888888888888	0.01169597438888889	2	54.75692878999997	1.0028192511731848	61.592269562569854	0.4494011949425404	1509052.25	0.37956428761738625	155	86.11111111111111	2.398706622400034	2.2976647260970204	2.432845435026664	2.4656097060764184	0.00175919	0.008178851567208767	0.027651341632008553	180	104	96	72	2.1171761332081216	3.069999933242798	2.000000238418579	1.9999996423721313	2.000000238418579	2	50.33161336767622	5.3515393852127175	114.48941040039062	3.6880722045898438	465486.0	0.012781278695911169	652.9397277832031	409.6429748535156	2.4461815619037948	1780.5735926249058	5338.484375	4771.96826171875	153336.0	2760.7630004882812	9890.256103515625	2253.92333984375	23.04253578186035
sub-02_task-REPEAT01_bold	0.0012870949720670392	0.012939416648044695	2	69.26073316516853	1.057298158988764	0.9900329528651687	0.43076986314230603	1432023.375	0.7261069117920526	172	96.08938547486034	2.4042132861845182	2.3159297239196626	2.4104404310203367	2.486269703613555	0.00273277	0.012063714675605297	0.015833863988518715	179	104	104	72	2.124983661236546	3.069999933242798	2.000000238418579	1.9999996423721313	2.000000238418579	2	57.916602642166104	5.484685614512732	100.54015350341797	3.7831130027770996	521386.0	0.0	577.1051025390625	381.87005615234375	2.4699365458916436	1753.0283564122185	5293.5048828125	4730.67724609375	153819.0	2758.086083984375	9761.781054687503	2226.2109375	21.939437866210938
sub-02_task-REPEAT02_bold	0.0010101117318435755	0.011358269888268158	2	71.31323135016859	1.0774819612359554	0.9924176910112361	0.42856007176502275	3335300.0	0.6782911638703895	166	92.73743016759776	2.4063032880125927	2.3135497242033813	2.431350434759337	2.4740097050750607	0.00223349	0.009760139510035515	0.017250480130314827	179	104	104	72	2.135901901470224	3.069999933242798	2.000000238418579	1.9999996423721313	2.000000238418579	0	62.355145729582816	3.6387593588102507	94.99983215332031	2.4904847145080566	521793.0	0.0	549.9427246093747	374.4950256347656	2.446822169332533	1754.6459709909543	5290.494140625	4735.64892578125	153149.0	2761.5549804687503	9733.384765625002	2217.15869140625	23.569246292114258
sub-03_task-LISTEN01_bold	0.001206145251396648	0.017825410055865923	2	63.76930738280904	1.031686881348315	0.9715986550561796	0.4385993126179812	1264865.75	0.3924786049593332	159	88.8268156424581	2.5657846941346296	2.426539710733925	2.553464695603288	2.717349676066676	0.00387705	0.016478756442666054	0.02469123713672161	179	104	104	72	2.025180437082662	3.069999933242798	2.000000238418579	2.000000238418579	2.000000238418579	0	69.52920112680914	5.109091146203592	96.33727264404297	3.5226149559020996	514337.0	0.014727400988340383	568.8501098632789	361.77154541015625	4.023931594931994	1424.2585997328595	4640.45703125	4137.248046875	161414.0	2332.045202636719	8704.416699218755	2042.8970947265625	19.31346893310547
sub-03_task-LISTEN02_bold	0.0015837569060773483	0.020018232044198895	1	69.13432718911105	1.0436465009444449	0.9901604284999999	0.45889953427144387	727196.25	0.45229147938302405	164	90.60773480662984	2.5476146963006623	2.4008247137993917	2.5600646948165062	2.6819546802860876	0.00341341	0.014321587979793549	0.035160042345523834	181	104	96	72	2.026166716783075	3.069999933242798	2.000000238418579	2.000000238418579	2.000000238418579	1	55.014098413182204	6.362909642932498	105.3283920288086	4.492166519165039	458183.0	0.07643483579158786	625.5129699707028	362.5240173339844	4.058046015859055	1398.2918860482246	4528.3505859375	4043.946533203125	160607.0	2270.4169921875	8480.616308593748	1995.8544921875	18.335296630859375
